row,sku,name,status,detail
2,XL-0001,Shin Ramyun Noodles 120gm,unchanged,
3,XL-0002,Soonveg Noodles,unchanged,
4,XL-0003,Kimchi Noodles,unchanged,
5,XL-0004,Chapagetti Noodles 140gm,unchanged,
6,XL-0005,Chapagetti spicy Noodles 137gm,unchanged,
7,XL-0006,Shin Ramyun cup 68 gm red super spicy,unchanged,
8,XL-0007,Soonveg cup,unchanged,
9,XL-0008,Kimchi cup,unchanged,
10,XL-0009,Super spicy cup,unchanged,
11,XL-0010,Shin Bowl Noodle Soup 86g,unchanged,
12,XL-0011,Shin ramyun big bowl 114g,unchanged,
13,XL-0012,Spicy Shrimp big bowl 115 g,unchanged,
14,XL-0013,Pepero All mix,unchanged,
15,XL-0014,Custard pie,unchanged,
16,XL-0015,Onion ring 50g,unchanged,
17,XL-0016,Onion ring 90g,unchanged,
18,XL-0017,Shrimp Cracker 75gm orginal,unchanged,
19,XL-0018,Shrimp Cracker 75gm Hot and Spicy,unchanged,
20,XL-0019,Shrimp Mrat chips,unchanged,
21,XL-0020,Maxim coffee 100p,unchanged,
22,XL-0021,White rabbit 39g,unchanged,
23,XL-0022,White rabbit 108g,unchanged,
24,XL-0023,Zubi Rose Red Strawberry lollies,unchanged,
25,XL-0024,Zubi small rolli,unchanged,
26,XL-0025,Hot Noodles,unchanged,
27,XL-0026,Buldak Hot Chicken Noodles,unchanged,
28,XL-0027,Buldok Carbonara Noodles,unchanged,
29,XL-0028,Buldok Cheese Noodles,unchanged,
30,XL-0029,Buldok Rose Noodles,unchanged,
31,XL-0030,Buldok Lime Noodles,unchanged,
32,XL-0031,Seaweed 100pcs,unchanged,
33,XL-0032,Seaweed 10pcs,unchanged,
34,XL-0033,Roast seaweed 3p,unchanged,
35,XL-0034,Sempio Gochujang 250g,unchanged,
36,XL-0035,Sempio Gochujang 1kg,unchanged,
37,XL-0036,CJ Gochujang 500g,unchanged,
38,XL-0037,S. ssamjang 250g,unchanged,
39,XL-0038,Fish sauce Korean 250ml,unchanged,
40,XL-0039,Body towel,unchanged,
41,XL-0040,Kitchen towel,unchanged,
42,XL-0041,Plastic vada jali,unchanged,
43,XL-0042,Can kimchi,would_update,stock 11 -> 12 (delta +1)
44,XL-0043,Korean pan,unchanged,
45,XL-0044,Korean stove,unchanged,
46,XL-0045,Mini Butane gas cylinder,unchanged,
47,XL-0046,Kochukaru 1kg,unchanged,
48,XL-0047,Sempio soy sauce 500ml,unchanged,
49,XL-0048,Soba / somen Noodles,unchanged,
50,XL-0049,Body gloves,unchanged,
51,XL-0050,Korean rice 25kg,unchanged,
52,XL-0051,Bamboo mat,unchanged,
53,XL-0052,Buldak sauce (b/p) (Buy 1 get 1 free),would_update,stock 9 -> 12 (delta +3)
54,XL-0053,Keema Noodles,unchanged,
55,XL-0054,Chilli oil with chicken,unchanged,
56,XL-0145,Rice paper mix,unchanged,
57,XL-0056,900 biscuit,unchanged,
58,XL-0057,HotPot Pork Luncheon meat,unchanged,
59,XL-0058,Tofu candy,unchanged,
60,XL-0059,Mini chopstick,unchanged,
61,XL-0060,Bubble gum,unchanged,
62,XL-0061,White Rice vinegar,unchanged,
63,XL-0062,Queen jelli,unchanged,
64,XL-0063,Watermelon can,unchanged,
65,XL-0064,Musk melon can,unchanged,
66,XL-0065,Pink peach can,unchanged,
67,XL-0066,OKF smoothie mix,unchanged,
68,XL-0067,Cafereal juice,unchanged,
69,XL-0068,Chocopie mix,unchanged,
70,XL-0069,Bamboo chopstick,unchanged,
71,XL-0070,Steel chopstick,unchanged,
72,XL-0071,Black chopstick,unchanged,
73,XL-0072,Choila mix,unchanged,
74,XL-0073,Cheese p. 100g,unchanged,
75,XL-0074,Cheese p. 250g,unchanged,
76,XL-0075,Veg meat mix,unchanged,
77,XL-0076,Instant Fish,unchanged,
78,XL-0077,Rapokki mix,unchanged,
79,XL-0078,Salted sunflower,unchanged,
80,XL-0079,Honey sunflower,unchanged,
81,XL-0080,Party snack,unchanged,
82,XL-0081,Korean pad,unchanged,
83,XL-0082,Silajit,unchanged,
84,XL-0083,Hankook carbo,unchanged,
85,XL-0084,Cup & straw,unchanged,
86,XL-0085,Rice cracker,unchanged,
87,XL-0086,Kancho biscuit,unchanged,
88,XL-0087,Any time candy mix,unchanged,
89,XL-0088,Binchi biscuit,unchanged,
90,XL-0089,Butter coconut bis,unchanged,
91,XL-0090,Chic choco biscuit,unchanged,
92,XL-0091,Mogu mogu mix,unchanged,
93,XL-0092,Millet museli 450g,unchanged,
94,XL-0093,Mini yogabar mix,unchanged,
95,XL-0094,Protin minis 140g,unchanged,
96,XL-0095,Strawberry wafer,unchanged,
97,XL-0096,Oat's Dark chocolate,unchanged,
98,XL-0097,5g protin bar,unchanged,
99,XL-0098,50g protin bar,unchanged,
100,XL-0099,Zubi stick lolli,unchanged,
101,XL-0100,CJ samjang 170gm,unchanged,
102,XL-0101,Heart lolipop,unchanged,
103,XL-0102,Seasome oil 500ml,unchanged,
104,XL-0103,Rubber gloves,unchanged,
105,XL-0104,Steel vada jali,unchanged,
106,XL-0105,dairy milk silk,unchanged,
107,XL-0106,Dairy milk Bubblt,unchanged,
108,XL-0106-107,raffaello,unchanged,
109,XL-0107,Maxsweet rose chocolate,unchanged,
110,XL-0108,Bounty,unchanged,
111,XL-0109,Snickers,unchanged,
112,XL-0110,Kitkat 50,unchanged,
113,,Dairy milk 100,skipped,no matching product
114,XL-0112,Runiu Milk candy,unchanged,
